Generation,Best,Average,Worst
240,1182.4972944475735,1182.4972944475735,1182.4972944475735
241,1182.4972944475735,1182.4972944475735,1182.4972944475735
242,1182.4972944475735,1182.4972944475735,1182.4972944475735
243,1182.4972944475735,1182.4972944475735,1182.4972944475735
244,1182.4972944475735,1182.4972944475735,1182.4972944475735
245,1182.4972944475735,1182.4972944475735,1182.4972944475735
246,1182.4972944475735,1182.4972944475735,1182.4972944475735
247,1182.4972944475735,1182.4972944475735,1182.4972944475735
248,1182.4972944475735,1182.4972944475735,1182.4972944475735
249,1182.4972944475735,1182.4972944475735,1182.4972944475735
250,1182.4972944475735,1182.4972944475735,1182.4972944475735
251,1182.4972944475735,1182.4972944475735,1182.4972944475735
252,1182.4972944475735,1182.4972944475735,1182.4972944475735
253,1182.4972944475735,1182.4972944475735,1182.4972944475735
254,1182.4972944475735,1182.4972944475735,1182.4972944475735
255,1182.4972944475735,1182.4972944475735,1182.4972944475735
256,1182.4972944475735,1182.4972944475735,1182.4972944475735
257,1182.4972944475735,1182.4972944475735,1182.4972944475735
258,1182.4972944475735,1182.4972944475735,1182.4972944475735
259,1182.4972944475735,1182.4972944475735,1182.4972944475735
260,1182.4972944475735,1182.4972944475735,1182.4972944475735
261,1182.4972944475735,1182.4972944475735,1182.4972944475735
262,1182.4972944475735,1182.4972944475735,1182.4972944475735
263,1182.4972944475735,1182.4972944475735,1182.4972944475735
264,1182.4972944475735,1182.4972944475735,1182.4972944475735
265,1182.4972944475735,1182.4972944475735,1182.4972944475735
266,1182.4972944475735,1182.4972944475735,1182.4972944475735
267,1182.4972944475735,1182.4972944475735,1182.4972944475735
268,1182.4972944475735,1182.4972944475735,1182.4972944475735
269,1182.4972944475735,1182.4972944475735,1182.4972944475735
270,1182.4972944475735,1182.4972944475735,1182.4972944475735
271,1182.4972944475735,1182.4972944475735,1182.4972944475735
272,1182.4972944475735,1182.4972944475735,1182.4972944475735
273,1182.4972944475735,1182.4972944475735,1182.4972944475735
274,1182.4972944475735,1182.4972944475735,1182.4972944475735
275,1182.4972944475735,1182.4972944475735,1182.4972944475735
276,1182.4972944475735,1182.4972944475735,1182.4972944475735
277,1182.4972944475735,1182.4972944475735,1182.4972944475735
278,1182.4972944475735,1182.4972944475735,1182.4972944475735
279,1182.4972944475735,1182.4972944475735,1182.4972944475735
280,1182.4972944475735,1182.4972944475735,1182.4972944475735
281,1182.4972944475735,1182.4972944475735,1182.4972944475735
282,1182.4972944475735,1182.4972944475735,1182.4972944475735
283,1182.4972944475735,1182.4972944475735,1182.4972944475735
284,1182.4972944475735,1182.4972944475735,1182.4972944475735
285,1182.4972944475735,1182.4972944475735,1182.4972944475735
286,1182.4972944475735,1182.4972944475735,1182.4972944475735
287,1182.4972944475735,1182.4972944475735,1182.4972944475735
288,1182.4972944475735,1182.4972944475735,1182.4972944475735
289,1182.4972944475735,1182.4972944475735,1182.4972944475735
290,1182.4972944475735,1182.4972944475735,1182.4972944475735
291,1182.4972944475735,1182.4972944475735,1182.4972944475735
292,1182.4972944475735,1182.4972944475735,1182.4972944475735
293,1182.4972944475735,1182.4972944475735,1182.4972944475735
294,1182.4972944475735,1182.4972944475735,1182.4972944475735
295,1182.4972944475735,1182.4972944475735,1182.4972944475735
296,1182.4972944475735,1182.4972944475735,1182.4972944475735
297,1182.4972944475735,1182.4972944475735,1182.4972944475735
298,1182.4972944475735,1182.4972944475735,1182.4972944475735
299,1182.4972944475735,1182.4972944475735,1182.4972944475735
300,1182.4972944475735,1182.4972944475735,1182.4972944475735
